id,company,screen_size,cpu,ram,memory,gpu
73,Asus,medium,amd,small,SSD,AMD
74,HP,large,intel,medium,SSD,Intel
75,Dell,medium,intel,small,HDD,AMD
76,Acer,medium,intel,small,SSD,Nvidia
77,Asus,large,intel,medium,SSD + HDD,Nvidia
78,Lenovo,medium,intel,small,HDD,Nvidia
79,Acer,large,intel,small,HDD,Nvidia
80,Lenovo,medium,intel,medium,SSD,AMD
81,Toshiba,medium,intel,small,HDD,Intel
82,HP,small,intel,medium,SSD,Intel
83,Dell,medium,intel,large,SSD,Nvidia
84,HP,medium,intel,small,SSD,AMD
85,Asus,medium,amd,small,HDD,AMD
86,Acer,large,intel,small,SSD,Nvidia
87,Lenovo,medium,intel,large,SSD,Nvidia
88,Acer,large,intel,medium,SSD,Nvidia
89,Huawei,medium,intel,medium,SSD,Intel
90,HP,large,intel,small,HDD,AMD
91,Lenovo,medium,amd,small,HDD,AMD
92,HP,large,intel,medium,SSD,Nvidia
93,Dell,medium,intel,medium,HDD,Intel
94,Lenovo,medium,intel,medium,SSD + HDD,AMD
95,Dell,medium,intel,large,SSD + HDD,AMD
96,Lenovo,medium,intel,large,SSD,Intel
97,Toshiba,medium,intel,medium,SSD,Intel
98,Xiaomi,medium,intel,medium,SSD,Nvidia
99,Dell,large,intel,large,SSD,Nvidia
100,Vero,medium,intel,small,flash,Intel
101,Lenovo,large,intel,medium,SSD,Nvidia
102,Razer,large,intel,large,SSD,Nvidia
103,HP,large,intel,large,SSD + HDD,Nvidia
104,Lenovo,medium,intel,large,SSD + HDD,Nvidia
105,Asus,large,intel,large,SSD + HDD,Nvidia
106,Lenovo,large,intel,medium,HDD,Nvidia
107,Dell,large,intel,large,SSD + HDD,Nvidia
108,Dell,medium,intel,large,HDD,AMD
109,HP,medium,intel,medium,HDD,AMD
110,Dell,medium,intel,large,SSD,AMD
111,Asus,medium,amd,small,SSD + HDD,AMD
112,Dell,medium,intel,medium,SSD + HDD,AMD
113,Asus,large,intel,large,SSD,Nvidia
114,HP,medium,amd,medium,SSD,AMD
115,HP,large,intel,large,HDD,Nvidia
116,Asus,large,amd,large,SSD + HDD,AMD
117,Toshiba,medium,intel,medium,HDD,Nvidia
118,Lenovo,large,intel,small,HDD,Intel
119,Lenovo,large,intel,small,SSD + HDD,Nvidia
120,HP,large,intel,medium,HDD,Intel
121,Lenovo,large,intel,small,HDD,Nvidia
122,Asus,medium,intel,medium,SSD + HDD,Nvidia
123,Toshiba,medium,intel,medium,SSD,Nvidia
124,Acer,medium,amd,medium,SSD,AMD
125,Acer,small,intel,small,flash,Intel
126,Asus,medium,intel,medium,SSD + HDD,Intel
127,Lenovo,medium,amd,medium,HDD,AMD
128,HP,medium,intel,medium,HDD,Nvidia
129,HP,medium,intel,small,flash,Intel
130,Toshiba,medium,intel,large,SSD,Nvidia
131,Dell,medium,intel,medium,HDD,Nvidia
132,Lenovo,large,amd,small,SSD,AMD
133,Lenovo,small,intel,small,SSD,Intel
134,Asus,medium,intel,small,flash,Intel
135,Asus,medium,intel,large,SSD,Intel
136,MSI,large,intel,medium,SSD,Nvidia
137,Toshiba,medium,intel,large,SSD,Intel
138,Dell,medium,intel,small,SSD,Intel
139,Chuwi,small,intel,small,flash,Intel
140,Mediacom,small,intel,small,SSD,Intel
141,Samsung,small,intel,small,flash,Intel
142,Google,small,intel,large,SSD,Intel
143,Lenovo,large,amd,medium,HDD,AMD
144,Lenovo,small,intel,medium,SSD,Intel
145,MSI,medium,intel,medium,SSD,Nvidia
146,Microsoft,medium,intel,large,SSD,Intel
147,Dell,small,intel,small,HDD,Intel
148,Acer,small,intel,small,SSD,Intel
149,Asus,medium,intel,medium,HDD,Intel
150,Google,small,intel,medium,SSD,Intel
151,Lenovo,small,intel,large,SSD,Intel
152,Asus,small,intel,large,SSD,Intel
153,Acer,medium,amd,medium,HDD,AMD
154,Xiaomi,medium,intel,large,SSD,Nvidia
155,Toshiba,medium,intel,medium,HDD,Intel
156,Mediacom,medium,intel,small,SSD,Intel
157,Mediacom,medium,intel,small,flash,Intel
158,Fujitsu,medium,intel,medium,HDD,Intel
159,Lenovo,large,intel,large,SSD + HDD,Nvidia
160,Dell,small,intel,small,flash,Intel
161,Lenovo,medium,amd,medium,SSD,AMD
162,Dell,small,intel,small,SSD,Intel
163,Samsung,medium,intel,large,SSD + HDD,Nvidia
164,Dell,small,intel,medium,SSD,Intel
165,Acer,medium,intel,small,flash,Intel
166,Dell,medium,intel,large,HDD,Nvidia
167,Fujitsu,medium,intel,medium,SSD,Intel
168,HP,large,amd,medium,HDD,AMD
169,Razer,medium,intel,large,SSD,Nvidia
170,MSI,medium,intel,medium,SSD + HDD,Nvidia
171,Toshiba,medium,intel,small,SSD,Intel
172,HP,small,intel,medium,flash,Intel
173,LG,medium,intel,medium,SSD,Intel
174,Acer,medium,intel,large,SSD,Nvidia
175,HP,large,intel,small,SSD,AMD
176,Mediacom,medium,intel,small,HDD,Intel
177,Acer,large,intel,large,SSD + HDD,Nvidia
178,HP,medium,amd,small,SSD + HDD,AMD
179,HP,medium,intel,large,SSD,Nvidia
180,Samsung,medium,intel,large,SSD,Intel
181,Asus,medium,intel,small,HDD,Nvidia
182,Dell,small,intel,large,SSD,Intel
183,Samsung,medium,intel,medium,SSD,Intel
184,Samsung,medium,intel,large,SSD,AMD
185,HP,small,intel,small,SSD,Intel
186,Apple,small,intel,medium,flash,Intel
187,HP,medium,amd,medium,HDD,AMD
188,HP,large,intel,medium,HDD,AMD
189,Razer,small,intel,large,SSD,Intel
190,HP,small,intel,small,flash,Intel
191,Lenovo,medium,intel,medium,flash,Intel
192,Dell,large,intel,medium,HDD,AMD
193,Lenovo,medium,intel,small,HDD,AMD
194,Samsung,medium,intel,large,SSD,Nvidia
195,Dell,medium,intel,small,SSD + HDD,Nvidia
196,Lenovo,large,amd,small,HDD,AMD
197,LG,medium,intel,large,SSD,Intel
198,Lenovo,medium,intel,small,SSD,Nvidia
199,HP,small,intel,small,HDD,Intel
200,Lenovo,medium,amd,large,SSD + HDD,AMD
201,Dell,large,intel,small,HDD,AMD
202,Asus,small,intel,medium,flash,Intel
203,Acer,medium,intel,medium,SSD + HDD,Nvidia
204,Toshiba,small,intel,medium,SSD,Intel
205,Fujitsu,medium,intel,small,SSD,Intel
206,HP,medium,intel,small,SSD + HDD,AMD
207,Lenovo,large,intel,large,SSD,Nvidia
208,HP,medium,intel,medium,SSD + HDD,Intel
209,Asus,large,intel,large,HDD,Nvidia
210,Lenovo,large,intel,medium,HDD,AMD
211,Razer,small,intel,medium,SSD,Intel
212,Lenovo,medium,intel,medium,HDD,AMD
213,MSI,medium,intel,medium,HDD,Nvidia
214,HP,medium,intel,small,HDD,Nvidia
215,Acer,large,intel,medium,HDD,Nvidia
216,Lenovo,large,intel,medium,HDD,Intel
217,Apple,small,intel,small,flash,Intel
