21 31
197 595116 -159
198 671736 -147
199 61569 -144
200 798474 -130
201 787590 -163
202 868485 -140
203 888735 -140
204 531044 -158
205 329873 -162
206 352244 -145
207 25973 -126
208 155335 -140
209 561317 -141
210 27715 -166
211 381534 -178
212 621671 -152
213 647591 -180
214 714832 -143
215 711996 -146
216 70292 -157
217 450976 -144
218 294729 -174
219 307018 -117
220 339011 -143
221 889363 -150
222 865078 -122
223 748866 -144
224 742014 -164
225 407385 -159
226 931974 -153
227 303420 -183
228 303295 -160
229 208863 -133
230 709871 -164
231 966402 -152
232 825828 -121
233 650252 -130
234 357632 -146
235 125245 -122
236 508483 -142
237 418785 -150
238 626645 -153
239 934235 -141
240 928876 -187
241 626216 -187
242 252506 -134
243 680188 -138
244 892290 -128
245 430047 -158
246 426727 -160
247 122838 -147
248 75460 -134
249 512715 -160
250 72191 -136
251 673966 -157
252 341356 -145
253 939922 -181
254 508150 -146
255 773894 -146
256 591641 -144
257 315478 -161
258 422171 -144
259 708752 -123
260 451117 -149
261 762489 -165
262 301373 -191
263 514809 -147
264 847941 -128
265 955431 -161
266 941558 -168
267 132379 -142
268 163147 -180
269 275595 -131
270 188548 -164
271 386439 -137
272 253226 -168
273 532000 -158
274 274053 -141
275 780762 -144
276 738317 -121
277 535586 -178
278 942565 -151
279 768297 -159
280 437758 -162
281 690220 -168
282 225394 -122
283 766640 -141
284 155473 -175
285 730914 -157
286 945610 -177
287 669259 -144
288 945171 -149
289 480624 -157
290 617235 -126
291 968644 -138
292 112260 -144
293 417277 -169
294 798353 -140
295 644791 -153
296 977427 -153
297 669260 -127
298 452840 -128
299 536131 -144
300 66064 -143
301 854001 -144
302 310675 -161
303 506807 -147
304 767602 -145
305 829025 -174
306 373623 -127
307 430733 -137
308 94660 -127
309 145423 -169
310 960217 -157
311 927967 -140
312 748257 -147
313 728160 -150
314 560342 -170
315 858392 -185
316 840847 -142
317 580572 -134
318 862325 -138
319 896934 -195
320 584915 -144
321 432039 -153
322 67191 -144
323 228118 -148
324 15979 -139
325 339985 -145
326 354360 -154
327 405604 -153
328 649026 -136
329 326523 -151
330 979531 -152
331 172820 -149
332 628693 -140
333 809140 -137
334 587001 -123
335 873381 -149
336 67316 -127
337 720647 -144
338 264972 -161
339 105500 -161
340 777303 -141
341 124852 -150
342 315714 -138
343 511780 -148
344 952057 -153
345 729105 -155
346 907897 -154
347 277052 -139
348 116587 -172
349 405694 -161
350 457516 -149
351 603255 -144
352 256468 -139
353 286114 -151
354 471424 -144
355 441517 -141
356 793157 -136
357 493359 -155
358 512358 -165
359 347575 -160
360 865754 -166
361 113282 -180
362 723565 -153
363 836382 -117
364 85900 -140
365 750993 -141
366 411427 -146
367 70669 -162
368 683817 -151
369 494950 -168
370 54035 -152
371 209087 -149
372 787103 -144
373 170435 -158
374 141618 -146
375 976337 -141
376 617466 -156
377 365388 -152
378 677823 -157
379 855262 -128
380 621116 -127
381 676819 -169
382 354216 -120
383 483948 -147
384 996212 -143
385 839584 -160
386 890521 -148
387 734627 -177
388 167669 -147
389 999519 -140
390 782733 -151
391 408214 -144
392 267405 -149
393 7816 -114
394 763129 -161
395 441903 -115
396 423906 -145
397 912528 -131
398 66314 -145
399 361415 -155
400 455518 -153
401 680635 -150
402 183089 -137
403 790655 -121
404 855427 -150
405 971591 -145
406 779346 -152
407 141299 -141
408 325479 -146
409 797656 -125
410 999352 -151
411 988608 -133
412 17888 -129
413 903392 -122
414 916208 -117
415 904867 -168
416 135153 -137
417 87920 -131
418 536871 -157
419 33442 -172
420 795871 -157
421 611045 -144
422 192392 -130
423 312502 -141
424 779683 -106
425 916598 -171
426 754410 -130
427 791916 -119
428 249560 -169
429 474693 -129
430 632306 -147
431 688535 -144
432 41360 -160
433 682482 -142
434 227189 -144
435 473935 -148
436 128985 -189
437 79314 -140
438 929437 -165
439 20104 -145
440 360535 -121
441 11445 -118
442 901505 -144
443 29562 -180
444 359443 -145
445 222256 -122
446 715596 -163
447 738896 -159
448 474869 -157
449 378119 -147
450 982911 -159
451 447943 -153
452 320254 -145
453 774518 -187
454 642735 -148
455 966423 -144
456 162059 -172
457 147531 -144
458 271851 -157
459 115472 -144
460 743124 -111
461 15314 -146
462 553303 -166
463 33280 -164
464 981421 -206
465 244263 -161
466 753109 -158
467 989434 -168
468 853977 -122
469 91750 -158
470 176139 -169
471 923694 -165
472 356810 -159
473 877355 -182
474 688201 -201
475 474680 -146
476 377631 -159
477 997939 -141
478 716255 -163
479 498928 -151
480 194101 -178
481 831677 -162
