experience_level,job_title,remote_ratio,salary_in_usd,company_size
SE,Data Scientist,100,203000,M
SE,Data Scientist,100,133200,M
EN,Applied Scientist,0,213660,L
EN,Applied Scientist,0,130760,L
SE,Data Engineer,0,221000,M
SE,Data Engineer,0,147000,M
SE,Data Quality Analyst,0,100000,M
SE,Data Quality Analyst,0,80000,M
SE,Data Scientist,0,185900,M
SE,Data Scientist,0,129300,M
SE,Data Scientist,100,238000,M
SE,Data Scientist,100,156000,M
SE,Machine Learning Engineer,100,304000,M
SE,Machine Learning Engineer,100,199000,M
MI,Big Data Engineer,100,48289,M
SE,Data Engineer,0,150000,M
SE,Data Engineer,0,130000,M
SE,Data Scientist,100,140000,M
SE,Data Scientist,100,110000,M
MI,Data Analyst,0,90000,M
MI,Data Analyst,0,75000,M
MI,Research Scientist,0,195895,M
MI,Research Scientist,0,102772,M
SE,Data Engineer,0,240000,M
SE,Data Engineer,0,183600,M
MI,Data Specialist,0,130000,M
MI,Data Specialist,0,80000,M
SE,Data Engineer,0,250000,M
SE,Data Engineer,0,150000,M
SE,Data Analytics Manager,100,160000,M
SE,Data Analytics Manager,100,120000,M
SE,Machine Learning Engineer,0,289076,M
SE,Machine Learning Engineer,0,202353,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,120000,M
SE,Data Analyst,0,155000,M
SE,Data Analyst,0,106000,M
SE,Data Engineer,0,200000,M
SE,Data Engineer,0,160000,M
SE,Data Scientist,100,157750,M
SE,Data Scientist,100,104650,M
MI,Data Scientist,100,180000,M
MI,Data Scientist,100,140000,M
EX,Data Scientist,0,200000,M
EX,Data Scientist,0,145000,M
MI,Lead Data Analyst,0,68000,L
EN,BI Data Engineer,100,60000,M
SE,Data Scientist,0,48289,M
SE,Data Scientist,0,38631,M
EN,Data Engineer,0,85000,M
EN,Data Engineer,0,65000,M
MI,Data Engineer,0,125000,M
MI,Data Engineer,0,90000,M
SE,Data Analyst,100,105000,M
SE,Data Analyst,100,90000,M
SE,Analytics Engineer,0,179820,M
SE,Analytics Engineer,0,143860,M
SE,Data Analyst,0,135000,M
SE,Data Analyst,0,105500,M
EN,Research Engineer,0,155000,M
EN,Research Engineer,0,125000,M
SE,Machine Learning Engineer,0,241000,M
SE,Machine Learning Engineer,0,181000,M
SE,Data Scientist,0,252000,M
SE,Data Scientist,0,154000,M
EX,Data Architect,0,180000,M
EX,Data Architect,0,155000,M
SE,Data Scientist,0,191765,M
SE,Data Scientist,0,134236,M
SE,Data Scientist,100,175000,M
SE,Data Scientist,100,145000,M
SE,Data Scientist,100,237000,M
SE,Data Scientist,100,145000,M
EN,Research Engineer,0,155000,M
EN,Research Engineer,0,125000,M
SE,Data Analyst,0,80000,M
SE,Data Analyst,0,70000,M
SE,Data Engineer,0,146000,M
SE,Data Engineer,0,75000,M
EN,Data Analyst,100,64200,M
EN,Data Analyst,100,56100,M
SE,Machine Learning Engineer,0,170000,M
SE,Machine Learning Engineer,0,130000,M
SE,Data Analyst,100,208450,M
SE,Data Analyst,100,170550,M
SE,Machine Learning Engineer,0,125000,M
SE,Machine Learning Engineer,0,100000,M
MI,Data Manager,0,135000,M
MI,Data Manager,0,120000,M
SE,Data Scientist,100,200000,M
SE,Data Scientist,100,170000,M
SE,Data Scientist,0,171250,M
SE,Data Scientist,0,113750,M
SE,Applied Scientist,0,222200,L
SE,Applied Scientist,0,136000,L
SE,Applied Scientist,0,260000,L
SE,Applied Scientist,0,136000,L
SE,Data Analyst,0,153600,M
SE,Data Analyst,0,100500,M
SE,Applied Scientist,100,205000,M
SE,Applied Scientist,100,184000,M
SE,Machine Learning Engineer,100,115000,M
SE,Machine Learning Engineer,100,95000,M
MI,Data Analyst,0,182500,M
MI,Data Analyst,0,121500,M
SE,Data Engineer,0,203100,M
SE,Data Engineer,0,114500,M
MI,Data Analyst,0,72914,M
MI,Data Analyst,0,54685,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
EN,Data Engineer,100,92700,M
EN,Data Engineer,100,61800,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,130000,M
SE,Data Scientist,0,258000,M
SE,Data Scientist,0,190000,M
SE,Data Scientist,0,170000,M
SE,Data Scientist,0,135000,M
MI,Data Architect,0,167500,M
MI,Data Architect,0,106500,M
SE,Data Scientist,0,195000,M
SE,Data Scientist,0,160000,M
MI,Data Engineer,0,146000,M
MI,Data Engineer,0,75000,M
EN,Data Engineer,100,59888,L
EX,Data Engineer,100,286000,M
EX,Data Engineer,100,207000,M
SE,Data Analyst,100,100000,M
SE,Data Analyst,100,80000,M
SE,Data Engineer,0,223250,M
SE,Data Engineer,0,178600,M
EX,Director of Data Science,0,353200,M
EX,Director of Data Science,0,249300,M
MI,Machine Learning Scientist,0,230000,M
MI,Machine Learning Scientist,0,220000,M
SE,Data Scientist,100,297300,M
SE,Data Scientist,100,198200,M
MI,Research Scientist,100,210000,M
MI,Research Scientist,100,151800,M
SE,Data Scientist,100,200000,M
SE,Data Scientist,100,170000,M
SE,Data Scientist,0,317070,M
SE,Data Scientist,0,170730,M
SE,Data Engineer,0,128000,M
SE,Data Engineer,0,81500,M
EN,Business Data Analyst,0,21461,M
SE,AI Developer,0,108000,M
SE,AI Developer,0,60000,M
MI,MLOps Engineer,100,134000,M
MI,MLOps Engineer,100,124000,M
SE,Data Engineer,0,171250,M
SE,Data Engineer,0,113750,M
SE,Data Engineer,0,165000,M
SE,Data Engineer,0,132300,M
SE,Data Scientist,0,225000,M
SE,Data Scientist,0,175000,M
SE,Data Engineer,0,230000,M
SE,Data Engineer,0,124500,M
SE,Machine Learning Engineer,0,247500,M
SE,Machine Learning Engineer,0,172200,M
SE,Data Analyst,0,175000,M
SE,Data Analyst,0,145000,M
SE,Data Analyst,0,148700,M
SE,Data Analyst,0,125600,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,115000,M
SE,Research Scientist,0,200000,M
SE,Research Scientist,0,150000,M
EN,Research Engineer,0,160000,M
EN,Research Engineer,0,120000,M
SE,Data Analyst,100,185000,M
SE,Data Analyst,100,120250,M
SE,Data Scientist,100,275300,M
SE,Data Scientist,100,183000,M
SE,Data Architect,100,170000,M
SE,Data Architect,100,125000,M
MI,Data Architect,0,167500,M
MI,Data Architect,0,106500,M
SE,Research Scientist,0,250000,M
SE,Research Scientist,0,200000,M
MI,Machine Learning Engineer,50,135000,L
SE,AI Scientist,0,423834,L
SE,Machine Learning Engineer,100,216000,M
SE,Machine Learning Engineer,100,184000,M
SE,Data Engineer,100,180000,M
SE,Data Engineer,100,165000,M
SE,Data Scientist,0,185900,M
SE,Data Scientist,0,129300,M
SE,Data Engineer,0,145000,M
SE,Data Engineer,0,120000,M
MI,Data Engineer,0,143865,M
MI,Data Engineer,0,115092,M
MI,Machine Learning Engineer,0,130000,M
MI,Machine Learning Engineer,0,90000,M
SE,Data Scientist,100,173000,M
SE,Data Scientist,100,132000,M
SE,Data Analyst,0,208049,M
SE,Data Analyst,0,128500,M
SE,Analytics Engineer,0,179820,M
SE,Analytics Engineer,0,143860,M
SE,Data Engineer,0,167500,M
SE,Data Engineer,0,106500,M
SE,Data Scientist,100,275300,M
SE,Data Scientist,100,183500,M
MI,Data Engineer,0,149600,M
MI,Data Engineer,0,102000,M
EX,Data Scientist,0,145000,M
EX,Data Scientist,0,100000,M
SE,Data Analyst,100,190000,M
SE,Data Analyst,100,95000,M
SE,Data Analyst,0,153600,M
SE,Data Analyst,0,106800,M
MI,Data Scientist,0,96578,M
MI,Data Scientist,0,80481,M
MI,Data Analyst,0,128000,M
MI,Data Analyst,0,85000,M
MI,Data Engineer,0,151000,M
MI,Data Engineer,0,140000,M
SE,Data Scientist,100,275300,M
SE,Data Scientist,100,183500,M
SE,Machine Learning Scientist,0,220000,M
SE,Machine Learning Scientist,0,170000,M
SE,Data Analyst,0,135000,M
SE,Data Analyst,0,105500,M
SE,Data Analyst,100,100000,M
SE,Data Analyst,100,80000,M
EN,Autonomous Vehicle Technician,0,7000,S
EN,Applied Machine Learning Scientist,50,42923,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,145000,M
MI,Data Analyst,0,154000,M
MI,Data Analyst,0,143000,M
MI,Data Scientist,0,78990,M
MI,Data Scientist,0,51039,M
EN,Data Scientist,0,190000,M
EN,Data Scientist,0,120000,M
MI,Data Scientist,0,85066,M
MI,Data Scientist,0,51039,M
MI,Data Scientist,0,109371,M
MI,Data Scientist,0,72914,M
SE,Data Engineer,0,150000,M
SE,Data Engineer,0,111000,M
EX,Data Engineer,0,265000,M
EX,Data Engineer,0,235000,M
EN,Data Scientist,50,121093,L
MI,Data Scientist,100,73546,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,130000,M
MI,Data Engineer,100,75000,M
MI,Data Engineer,100,60400,M
EN,Data Analyst,100,85000,M
EN,Data Analyst,100,75000,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
EN,Data Engineer,100,92700,M
EN,Data Engineer,100,61800,M
SE,Lead Data Scientist,100,172309,L
MI,Data Scientist,100,60093,M
MI,Data Analyst,100,83500,M
MI,Data Analyst,100,52500,M
SE,Data Scientist,0,201036,M
SE,Data Scientist,0,134024,M
SE,Data Analyst,100,165000,M
SE,Data Analyst,100,140000,M
EN,Data Engineer,100,62000,M
EN,Data Engineer,100,58000,M
SE,Data Scientist,0,172000,M
SE,Data Scientist,0,115000,M
EN,Data Engineer,0,125000,M
EN,Data Engineer,0,90000,M
SE,Data Engineer,0,163800,M
SE,Data Engineer,0,126000,M
SE,Data Scientist,100,237000,M
SE,Data Scientist,100,145000,M
MI,Data Engineer,100,90000,M
MI,Data Engineer,100,90000,M
SE,Data Engineer,0,139500,M
SE,Data Engineer,0,109400,M
SE,Data Scientist,0,258000,M
SE,Data Scientist,0,190000,M
MI,Data Engineer,0,145000,M
MI,Data Engineer,0,120000,M
SE,Data Engineer,0,205600,L
SE,Data Engineer,0,105700,L
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
SE,Data Scientist,0,239748,M
SE,Data Scientist,0,159832,M
SE,Data Scientist,100,186300,M
SE,Data Scientist,100,102500,M
SE,Data Engineer,0,165000,M
SE,Data Engineer,0,132300,M
SE,Data Scientist,0,190000,M
SE,Data Scientist,0,126000,M
SE,Data Architect,100,149040,M
SE,Data Architect,100,113900,M
SE,Data Engineer,100,153600,M
SE,Data Engineer,100,106800,M
SE,Data Engineer,100,172600,M
SE,Data Engineer,100,107900,M
SE,Data Analyst,0,180180,M
SE,Data Analyst,0,106020,M
SE,Data Architect,100,376080,M
SE,Data Architect,100,213120,M
SE,Data Analyst,0,153600,M
SE,Data Analyst,0,100500,M
SE,Data Analyst,100,206500,M
SE,Data Analyst,100,121600,M
SE,Data Engineer,0,260000,M
SE,Data Engineer,0,225000,M
EX,Data Engineer,0,194500,M
EX,Data Engineer,0,115500,M
SE,Cloud Database Engineer,100,170000,L
SE,Applied Machine Learning Scientist,100,90000,L
EN,Data Analyst,100,95000,M
EN,Data Analyst,100,70000,M
SE,Data Engineer,0,275000,M
SE,Data Engineer,0,160000,M
SE,Data Analyst,100,115934,M
SE,Data Analyst,100,81666,M
SE,Data Scientist,0,175000,M
SE,Data Scientist,0,120000,M
SE,Machine Learning Engineer,100,150000,M
SE,Machine Learning Engineer,100,120000,M
SE,Research Engineer,0,200000,M
SE,Research Engineer,0,175000,M
MI,Data Analyst,0,206000,M
MI,Data Analyst,0,130000,M
SE,Data Architect,100,138000,M
SE,Data Architect,100,92000,M
SE,Data Manager,0,65000,M
SE,Data Manager,0,48000,M
SE,Data Analyst,100,110000,M
SE,Data Analyst,100,75000,M
SE,Analytics Engineer,0,130000,M
SE,Analytics Engineer,0,87000,M
MI,Data Analyst,0,160000,M
MI,Data Analyst,0,112000,M
MI,Data Engineer,0,162500,M
MI,Data Engineer,0,130000,M
SE,Data Science Manager,0,299500,M
SE,Data Science Manager,0,245100,M
MI,Data Scientist,0,145000,M
MI,Data Scientist,0,100000,M
SE,Data Engineer,0,147100,M
SE,Data Engineer,0,90700,M
EN,Data Engineer,0,115100,M
EN,Data Engineer,0,73900,M
SE,Data Engineer,0,168400,M
SE,Data Engineer,0,105200,M
SE,Data Scientist,0,210000,M
SE,Data Scientist,0,160000,M
MI,Data Scientist,0,145000,M
MI,Data Scientist,0,100000,M
SE,Applied Scientist,0,222200,L
SE,Applied Scientist,0,136000,L
MI,Data Analyst,0,100000,M
MI,Data Analyst,0,85000,M
MI,Data Engineer,100,85066,M
MI,Data Engineer,100,57723,M
EX,Data Scientist,0,200000,M
EX,Data Scientist,0,145000,M
MI,Data Engineer,0,140000,M
MI,Data Engineer,0,95000,M
SE,Data Analyst,100,185000,M
SE,Data Analyst,100,120250,M
MI,Financial Data Analyst,100,130000,L
SE,Data Scientist,0,205000,M
SE,Data Scientist,0,140000,M
SE,Data Scientist,100,297300,M
SE,Data Scientist,100,198200,M
SE,Research Scientist,0,141288,M
SE,Research Scientist,0,94192,M
SE,Data Infrastructure Engineer,100,184000,M
SE,Data Infrastructure Engineer,100,143000,M
SE,Data Analyst,0,70000,M
SE,Data Analyst,0,55000,M
SE,Analytics Engineer,100,275300,M
SE,Analytics Engineer,100,183500,M
MI,Data Analyst,100,75000,M
MI,Data Analyst,100,65000,M
MI,ML Engineer,0,160000,M
MI,ML Engineer,0,147000,M
SE,Data Architect,100,149040,M
SE,Data Architect,100,113900,M
MI,Software Data Engineer,100,75020,L
SE,Data Analyst,0,180180,M
SE,Data Analyst,0,106020,M
MI,Data Scientist,100,17022,L
EN,AI Programmer,0,70000,L
EN,AI Developer,50,80000,M
MI,Lead Data Analyst,50,18238,L
MI,Machine Learning Engineer,0,250000,M
MI,Machine Learning Engineer,0,150000,M
SE,Data Engineer,0,139500,M
SE,Data Engineer,0,109400,M
SE,Data Scientist,0,105000,M
SE,Data Scientist,0,70000,M
EX,Data Engineer,100,210914,M
EX,Data Engineer,100,116704,M
EN,Research Scientist,0,150000,M
EN,Research Scientist,0,100000,M
SE,Data Engineer,0,146000,M
SE,Data Engineer,0,75000,M
EN,Data Analyst,100,75000,M
EN,Data Analyst,100,60000,M
MI,Analytics Engineer,0,185700,M
MI,Analytics Engineer,0,165000,M
SE,Data Engineer,100,160000,M
SE,Data Engineer,100,130000,M
SE,Data Analyst,0,169000,M
SE,Data Analyst,0,110600,M
SE,Data Operations Engineer,100,193000,M
SE,Data Operations Engineer,100,136850,M
SE,Machine Learning Engineer,0,139500,M
SE,Machine Learning Engineer,0,109400,M
SE,Data Engineer,100,276000,M
SE,Data Engineer,100,178500,M
MI,Data Scientist,0,59020,M
MI,Data Scientist,0,48289,M
MI,Data Engineer,100,75116,M
MI,Data Engineer,100,48289,M
SE,Machine Learning Engineer,0,195652,M
SE,Machine Learning Engineer,0,101228,M
SE,Data Engineer,0,136956,M
SE,Data Engineer,0,101228,M
SE,Data Engineer,0,252000,M
SE,Data Engineer,0,129000,M
SE,BI Developer,100,130000,L
MI,Data Science Lead,100,150000,M
SE,Data Engineer,0,163800,M
SE,Data Engineer,0,126000,M
SE,ML Engineer,100,260000,M
SE,ML Engineer,100,110000,M
SE,Analytics Engineer,100,170000,M
SE,Analytics Engineer,100,130000,M
SE,Machine Learning Engineer,0,247500,M
SE,Machine Learning Engineer,0,172200,M
SE,Data Scientist,0,239748,M
SE,Data Scientist,0,159832,M
SE,Machine Learning Engineer,0,163800,M
SE,Machine Learning Engineer,0,126000,M
MI,Data Scientist,0,128750,M
MI,Data Scientist,0,106250,M
SE,Data Engineer,0,252000,M
